uee,yee
11.87470015,40.00520833
15.54998763,45.00520833
18.90785011,50.00520833
22.16709614,55.01041667
25.73288012,60.00520833
29.06848160,65.01041667
32.30202484,70.01562500
36.26661905,75.00000000
39.63205783,80.01041667
43.15518220,85.01562500
46.93813642,90.01041667
50.73708566,95.00520833
